ante_parent_cat,cons_parent_cat,co_count,ante_count,cons_count,support,confidence,lift,leverage
"Pizza, Cơm, Lẩu","Gạo, Bột, Đậu",9,71,256,0.0020316027088036117,0.1267605633802817,2.1935519366197185,0.0011054323843688375
"Pizza, Cơm, Lẩu",Sữa Nước,28,71,802,0.006320541760722348,0.39436619718309857,2.1783569245899335,0.0034190237912040317
"Bơ, Phô Mai",Bữa Sáng,29,210,283,0.00654627539503386,0.1380952380952381,2.1617028436816423,0.0035179797094507482
Bữa Sáng,"Bơ, Phô Mai",29,283,210,0.00654627539503386,0.10247349823321555,2.1617028436816423,0.0035179797094507482
"Xúc Xích, Lạp Xưởng, Thịt Nguội",Trà,22,145,311,0.004966139954853273,0.15172413793103448,2.1612152123295267,0.00266829385117886
Làm Sạch Cơ Thể,Chăm Sóc Tóc,837,1189,1449,0.1889390519187359,0.7039529015979815,2.1521817488468313,0.10114950904208429
Chăm Sóc Tóc,Làm Sạch Cơ Thể,837,1449,1189,0.1889390519187359,0.577639751552795,2.152181748846831,0.10114950904208429
Trái Cây,"Sốt, Gia Vị Các Loại",19,133,295,0.004288939051918736,0.14285714285714285,2.1452784503631963,0.002289693195888897
Đồ Dùng Phòng Tắm,Làm Sạch Cơ Thể,189,329,1189,0.04266365688487585,0.574468085106383,2.14036469051411,0.022730765507085384
Làm Sạch Cơ Thể,Đồ Dùng Phòng Tắm,189,1189,329,0.04266365688487585,0.15895710681244743,2.14036469051411,0.022730765507085384
"Pizza, Cơm, Lẩu","Sữa Chua, Váng Sữa",25,71,730,0.0056433408577878106,0.352112676056338,2.1367933629172295,0.003002308292016775
Thịt Heo,Chăm Sóc Răng Miệng,9,15,1244,0.0020316027088036117,0.6,2.1366559485530545,0.0010807698383176476
Dụng Cụ Học Sinh,Chăm Sóc Răng Miệng,9,15,1244,0.0020316027088036117,0.6,2.1366559485530545,0.0010807698383176476
"Dầu Ăn, Gia Vị",Sữa Nước,10,26,802,0.002257336343115124,0.38461538461538464,2.124496451179743,0.0011948086359675717
Chăm Sóc Cơ Thể,Chăm Sóc Tóc,486,702,1449,0.10970654627539503,0.6923076923076923,2.1165790731008123,0.057874536940315614
Chăm Sóc Tóc,Chăm Sóc Cơ Thể,486,1449,702,0.10970654627539503,0.33540372670807456,2.1165790731008123,0.057874536940315614
Thiết Bị Nhà Bếp,"Dụng Cụ Bếp, Phòng Ăn",23,43,1120,0.005191873589164785,0.5348837209302325,2.115656146179402,0.002737848345724054
Dụng Cụ Văn Phòng,"Sốt, Gia Vị Các Loại",9,64,295,0.0020316027088036117,0.140625,2.111758474576271,0.0010695595901125611
Sữa,"Tương Ớt, Tương Cà, Tương Đen",14,83,354,0.003160270880361174,0.1686746987951807,2.110816145939691,0.0016630912768982264
Khô Chế Biến Sẵn,Bánh Tươi,26,191,287,0.005869074492099322,0.13612565445026178,2.101172993779302,0.003075837329107409
